PLACEID,CHANGETYPE,ATTRIBUTENAME,LANGUAGECODE,FULLROADNAME,HOUSENUMBER,POSTALCODE,DISPLAY_GEO_POSITION_LATITUDE,DISPLAY_GEO_POSITION_LONGITUDE,ROUTING_GEO_POSITION_LATITUDE,ROUTING_GEO_POSITION_LONGITUDE,Error_Description
036r652k-14f33519dada49adb307bd67297e4ea3,UPDATE,LOCATION,en, Shelley St,1,,-33.69269587,151.0188108,-33.69266661,151.0190243,Invalid FULLROADNAME
036r652k-14f33519dada49adb307bd67297e4ea3,UPDATE,LOCATION,en, Shelley St,1,,-33.69269587,151.0188108,-33.69266661,151.0190243,Invalid FULLROADNAME
036r6586-f3a9fc16ae861808e0cb8535769b7c43,UPDATE,LOCATION,en,Chapel Road ,402,,-33.67754611,151.3030811,-33.67765882,151.3029965,Invalid FULLROADNAME
036r6586-f3a9fc16ae861808e0cb8535769b7c43,UPDATE,LOCATION,en,Chapel Road ,402,,-33.67754611,151.3030811,-33.67765882,151.3029965,Invalid FULLROADNAME
036r3grr-6ae9a6ca1aa09a438b69f09efd266b7f,UPDATE,LOCATION,en, The Horsley Dr,1818,2175,-33.85302702,151.1560799,-33.8528889,151.156273,Invalid FULLROADNAME
036r3grr-6ae9a6ca1aa09a438b69f09efd266b7f,UPDATE,LOCATION,en, The Horsley Dr,1818,2175,-33.85302702,151.1560799,-33.8528889,151.156273,Invalid FULLROADNAME
036506d3-0fcbb262cb246dfaf29666c70663e6c9,UPDATE,LOCATION,en, Jacksons Rd,12,2102,-33.84113436,151.0160143,-33.841238,151.0159969,Invalid FULLROADNAME
036506d3-0fcbb262cb246dfaf29666c70663e6c9,UPDATE,LOCATION,en, Jacksons Rd,12,2102,-33.84113436,151.0160143,-33.841238,151.0159969,Invalid FULLROADNAME
036r3gx0-90b385b039dca7f27704d637d72405c9,UPDATE,LOCATION,en, Shelley St,1,2000,-33.89156818,151.1858104,-33.89131993,151.1858479,Invalid FULLROADNAME
036r3gx0-90b385b039dca7f27704d637d72405c9,UPDATE,LOCATION,en, Shelley St,1,2000,-33.89156818,151.1858104,-33.89131993,151.1858479,Invalid FULLROADNAME
036r3grk-8e69ad885cc545f9bcb2ab666a172a3d,UPDATE,LOCATION,en,Chapel Road ,402,2200,-33.84964323,151.0350064,,,Invalid FULLROADNAME
036r3grk-8e69ad885cc545f9bcb2ab666a172a3d,UPDATE,LOCATION,en,Chapel Road ,402,2200,-33.84964323,151.0350064,,,Invalid FULLROADNAME
036r3grd-b2b7ab64d6bf8c582a6818e51017388a,UPDATE,LOCATION,en,Pyramid Street ,1,2750,-33.79925284,150.9520581,-33.79917041,150.9518932,Invalid FULLROADNAME
036r3grd-b2b7ab64d6bf8c582a6818e51017388a,UPDATE,LOCATION,en,Pyramid Street ,1,2750,-33.79925284,150.9520581,-33.79917041,150.9518932,Invalid FULLROADNAME
036r3gre-ec12b1a3387e471f4fd03646b4e8a52b,UPDATE,LOCATION,en,"COWPASTURE ROAD,",505,2171,-33.82184578,150.9873569,-33.82163631,150.9874521,Invalid FULLROADNAME
036r3gre-ec12b1a3387e471f4fd03646b4e8a52b,UPDATE,LOCATION,en,"COWPASTURE ROAD,",505,2171,-33.82184578,150.9873569,-33.82163631,150.9874521,Invalid FULLROADNAME
,,,,,,,,,,,Invalid PLACEID; Invalid CHANGETYPE; Invalid ATTRIBUTENAME; All essential fields are empty or null
,,,,,,,,,,,Invalid PLACEID; Invalid CHANGETYPE; Invalid ATTRIBUTENAME; All essential fields are empty or null
,,,,,,,,,,,Invalid PLACEID; Invalid CHANGETYPE; Invalid ATTRIBUTENAME; All essential fields are empty or null
,,,,,,,,,,,Invalid PLACEID; Invalid CHANGETYPE; Invalid ATTRIBUTENAME; All essential fields are empty or null
,,,,,,,,,,,Invalid PLACEID; Invalid CHANGETYPE; Invalid ATTRIBUTENAME; All essential fields are empty or null
,,,,,,,,,,,Invalid PLACEID; Invalid CHANGETYPE; Invalid ATTRIBUTENAME; All essential fields are empty or null
,,,,,,,,,,,Invalid PLACEID; Invalid CHANGETYPE; Invalid ATTRIBUTENAME; All essential fields are empty or null
,,,,,,,,,,,Invalid PLACEID; Invalid CHANGETYPE; Invalid ATTRIBUTENAME; All essential fields are empty or null
,,,,,,,,,,,Invalid PLACEID; Invalid CHANGETYPE; Invalid ATTRIBUTENAME; All essential fields are empty or null
,,,,,,,,,,,Invalid PLACEID; Invalid CHANGETYPE; Invalid ATTRIBUTENAME; All essential fields are empty or null
,,,,,,,,,,,Invalid PLACEID; Invalid CHANGETYPE; Invalid ATTRIBUTENAME; All essential fields are empty or null
,,,,,,,,,,,Invalid PLACEID; Invalid CHANGETYPE; Invalid ATTRIBUTENAME; All essential fields are empty or null
,,,,,,,,,,,Invalid PLACEID; Invalid CHANGETYPE; Invalid ATTRIBUTENAME; All essential fields are empty or null
,,,,,,,,,,,Invalid PLACEID; Invalid CHANGETYPE; Invalid ATTRIBUTENAME; All essential fields are empty or null
,,,,,,,,,,,Invalid PLACEID; Invalid CHANGETYPE; Invalid ATTRIBUTENAME; All essential fields are empty or null
,,,,,,,,,,,Invalid PLACEID; Invalid CHANGETYPE; Invalid ATTRIBUTENAME; All essential fields are empty or null
,,,,,,,,,,,Invalid PLACEID; Invalid CHANGETYPE; Invalid ATTRIBUTENAME; All essential fields are empty or null
,,,,,,,,,,,Invalid PLACEID; Invalid CHANGETYPE; Invalid ATTRIBUTENAME; All essential fields are empty or null
,,,,,,,,,,,Invalid PLACEID; Invalid CHANGETYPE; Invalid ATTRIBUTENAME; All essential fields are empty or null
,,,,,,,,,,,Invalid PLACEID; Invalid CHANGETYPE; Invalid ATTRIBUTENAME; All essential fields are empty or null
,,,,,,,,,,,Invalid PLACEID; Invalid CHANGETYPE; Invalid ATTRIBUTENAME; All essential fields are empty or null
,,,,,,,,,,,Invalid PLACEID; Invalid CHANGETYPE; Invalid ATTRIBUTENAME; All essential fields are empty or null
,,,,,,,,,,,Invalid PLACEID; Invalid CHANGETYPE; Invalid ATTRIBUTENAME; All essential fields are empty or null
,,,,,,,,,,,Invalid PLACEID; Invalid CHANGETYPE; Invalid ATTRIBUTENAME; All essential fields are empty or null
,,,,,,,,,,,Invalid PLACEID; Invalid CHANGETYPE; Invalid ATTRIBUTENAME; All essential fields are empty or null
,,,,,,,,,,,Invalid PLACEID; Invalid CHANGETYPE; Invalid ATTRIBUTENAME; All essential fields are empty or null
,,,,,,,,,,,Invalid PLACEID; Invalid CHANGETYPE; Invalid ATTRIBUTENAME; All essential fields are empty or null
,,,,,,,,,,,Invalid PLACEID; Invalid CHANGETYPE; Invalid ATTRIBUTENAME; All essential fields are empty or null
,,,,,,,,,,,Invalid PLACEID; Invalid CHANGETYPE; Invalid ATTRIBUTENAME; All essential fields are empty or null
,,,,,,,,,,,Invalid PLACEID; Invalid CHANGETYPE; Invalid ATTRIBUTENAME; All essential fields are empty or null
,,,,,,,,,,,Invalid PLACEID; Invalid CHANGETYPE; Invalid ATTRIBUTENAME; All essential fields are empty or null
,,,,,,,,,,,Invalid PLACEID; Invalid CHANGETYPE; Invalid ATTRIBUTENAME; All essential fields are empty or null
,,,,,,,,,,,Invalid PLACEID; Invalid CHANGETYPE; Invalid ATTRIBUTENAME; All essential fields are empty or null
,,,,,,,,,,,Invalid PLACEID; Invalid CHANGETYPE; Invalid ATTRIBUTENAME; All essential fields are empty or null
,,,,,,,,,,,Invalid PLACEID; Invalid CHANGETYPE; Invalid ATTRIBUTENAME; All essential fields are empty or null
,,,,,,,,,,,Invalid PLACEID; Invalid CHANGETYPE; Invalid ATTRIBUTENAME; All essential fields are empty or null
,,,,Barcom St,45,2160,,,,,Invalid PLACEID; Invalid CHANGETYPE; Invalid ATTRIBUTENAME
,,,,Barcom St,45,2160,,,,,Invalid PLACEID; Invalid CHANGETYPE; Invalid ATTRIBUTENAME
,,,,,,,,,,,Invalid PLACEID; Invalid CHANGETYPE; Invalid ATTRIBUTENAME; All essential fields are empty or null
,,,,,,,,,,,Invalid PLACEID; Invalid CHANGETYPE; Invalid ATTRIBUTENAME; All essential fields are empty or null
,,,,,,,,,,,Invalid PLACEID; Invalid CHANGETYPE; Invalid ATTRIBUTENAME; All essential fields are empty or null
,,,,,,,,,,,Invalid PLACEID; Invalid CHANGETYPE; Invalid ATTRIBUTENAME; All essential fields are empty or null
,,,,Old Hume Hwy,82,2570,,,,,Invalid PLACEID; Invalid CHANGETYPE; Invalid ATTRIBUTENAME
,,,,Old Hume Hwy,82,2570,,,,,Invalid PLACEID; Invalid CHANGETYPE; Invalid ATTRIBUTENAME
,,,,,,,,,,,Invalid PLACEID; Invalid CHANGETYPE; Invalid ATTRIBUTENAME; All essential fields are empty or null
,,,,,,,,,,,Invalid PLACEID; Invalid CHANGETYPE; Invalid ATTRIBUTENAME; All essential fields are empty or null
,,,,,,,,,,,Invalid PLACEID; Invalid CHANGETYPE; Invalid ATTRIBUTENAME; All essential fields are empty or null
,,,,,,,,,,,Invalid PLACEID; Invalid CHANGETYPE; Invalid ATTRIBUTENAME; All essential fields are empty or null
,,,,,,,,,,,Invalid PLACEID; Invalid CHANGETYPE; Invalid ATTRIBUTENAME; All essential fields are empty or null
,,,,,,,,,,,Invalid PLACEID; Invalid CHANGETYPE; Invalid ATTRIBUTENAME; All essential fields are empty or null
