PLACEID,CHANGETYPE,ATTRIBUTENAME,PRIMARY,LANGUAGECODE,NAMETYPE,BASETEXT,PREVIOUS_NAMETYPE,PREVIOUS_LANGUAGECODE,PREVIOUS_BASETEXT
036r6524-89c0c620b97332a72733d27a3c076818,UPDATE,NAME,TRUE,en,OFFICIAL,CatalystPHD,OFFICIAL,en,Catalystphd Mind - Body Coaching
03613c1d-898f69d6cbb0f3615c1473924ab4d804,UPDATE,NAME,TRUE,en,OFFICIAL,KOKO Amusement,OFFICIAL,en,Koko Amusement Town Hall
036r3gqq-739dd19ee11745f6cc60c5d63f7ad62c,UPDATE,NAME,TRUE,en,OFFICIAL,THE REC CLUB ,OFFICIAL,en,The Rec Club-Indoor Sports
036r3grw-479ab262ea27a70d5ec19aceea7ee621,UPDATE,NAME,TRUE,en,OFFICIAL,My Gym,OFFICIAL,en,My Gym Children's Fitness Centre
036r3grh-42c18ace121f69fd62a28447ae025e72,UPDATE,NAME,TRUE,en,OFFICIAL,AlphaWarrior,OFFICIAL,en,Alpha Warrior Ninja Warrior Western Sydney
036r3gqy-eeebdde2a9b2420aa9e9c6e7a168521b,UPDATE,NAME,TRUE,en,OFFICIAL,Kempo Genbu Ryu,OFFICIAL,en,Kempo Genbu Ryu Karate Earlwood
036r3gx0-c707a64135c0a586c096946a783179d4,UPDATE,NAME,TRUE,en,OFFICIAL,Hogan and Spindlers Parks,OFFICIAL,en,Playground
036917a2-a4b1f5d6b1c772167d469006f2186ba2,UPDATE,NAME,TRUE,en,OFFICIAL,Koshigaya Park,offucual,en,Koshigaya Park Campbelltown
036r3gxc-d3b93d897f34108d7764b773fc719b00,UPDATE,NAME,TRUE,en,OFFICIAL,Patanga Park,OFFICIAL,en,Patanga Reserve Playground
036r3gpv-ffb9e68d34eef5686dd9583f799c205e,UPDATE,NAME,TRUE,en,OFFICIAL,Archie Brothers,OFFICIAL,en,Archie Brothers Cirque Electriq Penrith
