PLACEID,CHANGETYPE,ATTRIBUTENAME,PLACESTATUS
036r3gx2-9b841e9a57a3487a852ca0c27e0658e4,UPDATE,STATUS,INACTIVE
036r3grg-bc9383186c9b84d6bf41c926c3ab33d1,UPDATE,STATUS,INACTIVE
036r3gx8-ceafeb243053a36ab59a0f0c8a0a4f40,UPDATE,STATUS,INACTIVE
036r652n-403374bc3c283ca8fe71d9203fd2d6b3,UPDATE,STATUS,INACTIVE
036r3gxc-46f6e16bf9ca5f41d4da2e19f27f7dcc,UPDATE,STATUS,INACTIVE
036r3gqh-5156f3ed18baf34694d9383c960b9ad9,UPDATE,STATUS,INACTIVE
036r3gx3-36adaa84b832d2b837be65c2dda64503,UPDATE,STATUS,INACTIVE
036r3gx0-3d6edece48e19976d27eea5f40067cff,UPDATE,STATUS,INACTIVE
036r3gx3-34fb7289ab4145179492147812f93868,UPDATE,STATUS,INACTIVE
036r3gxd-435042509b9dc030ea7d3b738fa1b3f4,UPDATE,STATUS,INACTIVE
036r3grs-214db7667cddba56c43f8a3d754d23b2,UPDATE,STATUS,INACTIVE
036r3gxd-b077cc23b17cb8e48ca7f60831bb1a8e,UPDATE,STATUS,INACTIVE
036r3gxd-eb1fe0443175893c7f23cec2ee19c379,UPDATE,STATUS,INACTIVE
036r3gxd-aab0fe2baff0da323625f83f529066e9,UPDATE,STATUS,INACTIVE
036r3grx-1b312b08879c76d6ed41a12d1c05bb4f,UPDATE,STATUS,INACTIVE
036r3gx0-d7500b3f951202764cf0e30e0ca8e10a,UPDATE,STATUS,INACTIVE
036r3gx1-d298db7279459690c830ff110f805af5,UPDATE,STATUS,INACTIVE
036r3gx0-d425b3fabc824cb5f9f74c43b7a61c3d,UPDATE,STATUS,INACTIVE
036r6584-829d6616e2a2bfc12b231721259e6e0f,UPDATE,STATUS,INACTIVE
036r3grs-6d469824ebb3a1ca45c96ef716070287,UPDATE,STATUS,INACTIVE
036r3gxd-d07d2daa9861334453743a3405abb1ef,UPDATE,STATUS,INACTIVE
036r3gx2-cbe8e1544cd066c99fd471426a524583,UPDATE,STATUS,INACTIVE
0361r4ve-2eca877a68a0020eea88474576ecd87a,UPDATE,STATUS,INACTIVE
036r3gx2-9656930bf68e51caf8b5db013872cbe6,UPDATE,STATUS,INACTIVE
036r6580-1fb8bbb121ce174025b474403b53c843,UPDATE,STATUS,INACTIVE
036r3gre-b9c7fc5306a039924a59a777cb6aade6,UPDATE,STATUS,INACTIVE
036r3gqq-03dbff58024693e7a550efa92b4367de,UPDATE,STATUS,INACTIVE
036r3gq0-6821dffebd6e1d966f83a47e2a7f6a04,UPDATE,STATUS,INACTIVE
036r3gqz-8c5b243e00714029f73d3adefccbb982,UPDATE,STATUS,INACTIVE
036r3grs-b6a1a3a714db59181f9758efb64436b8,UPDATE,STATUS,INACTIVE
036r3gxd-7a836554c73bdd74611c99e58b53964f,UPDATE,STATUS,INACTIVE
036r3grt-b79bf604a41045d990389821c7ee8a1b,UPDATE,STATUS,INACTIVE
036r3gx2-fdaa89a7d3023152cf209eb25bb7aa54,UPDATE,STATUS,INACTIVE
036r3gxd-56a4f92eac1957139588406b63ab7989,UPDATE,STATUS,INACTIVE
036r3gx2-7954b63ca57c41f59ae7b907b3e7371d,UPDATE,STATUS,INACTIVE
036r3gx2-74bf5db79dc5c11243709df04d80b94a,UPDATE,STATUS,INACTIVE
036r3gxf-4b3c174b118a4593bf474b999c00a06e,UPDATE,STATUS,INACTIVE
036r3gx1-9801b27b9f533e779456fc630d0c102e,UPDATE,STATUS,INACTIVE
036r650h-6afac515abd34e06a902166c8644ed60,UPDATE,STATUS,INACTIVE
036r3gwb-298749ff64e14697991f343fff610eb4,UPDATE,STATUS,INACTIVE
036r652q-dee2a9d21aecc6586b32c15ef4d64951,UPDATE,STATUS,INACTIVE
036r3gqq-d6718e10cd1f07e494898dc12775e8ed,UPDATE,STATUS,INACTIVE
036r3gwc-618a78ccb874985d60d2c907a4ac3ea5,UPDATE,STATUS,INACTIVE
036r3gxf-7e55c47c34a20cf5e2efefcaad96e4c1,UPDATE,STATUS,INACTIVE
036r3grp-38b8a6c56666850dd996671ff8ce6d19,UPDATE,STATUS,INACTIVE
036r3gx2-a8a3959af9f68a88335a60f415ea614b,UPDATE,STATUS,INACTIVE
036r3gxd-311efbc3d6da476fbcda456fd11be0d2,UPDATE,STATUS,INACTIVE
036r3gnq-468d74afa237e24e55a2c21101a11faa,UPDATE,STATUS,INACTIVE
036r3gx1-e9db76f6a3324ffeac2590989f911f02,UPDATE,STATUS,INACTIVE
036r3grp-808384c4e97d61338458b857a106b967,UPDATE,STATUS,INACTIVE
0365c27f-c5a557170aed26094dbf290b422a692d,UPDATE,STATUS,INACTIVE
036r658e-5c68cd3156143d778b51e7febf04f5e8,UPDATE,STATUS,INACTIVE
036r3grh-450ea8d0a0c64ce2aed7aa9fab6baf40,UPDATE,STATUS,INACTIVE
036d9232-2b3684eb6b7b8e0d8f479ab15dd939fb,UPDATE,STATUS,INACTIVE
036jx7ps-be23b49b1de20bccfef4ea1fc3412446,UPDATE,STATUS,INACTIVE
036r3gx2-0f7bf3b9dde64c508306416f95ccd185,UPDATE,STATUS,INACTIVE
036r3gx1-ebf47a92c91e4bf4ba3572e25434d028,UPDATE,STATUS,INACTIVE
036r3grm-5904ce1e78de47c386f180aac4c1d6b6,UPDATE,STATUS,INACTIVE
03634f13-9aea869847c226a612c8c45cfa9fdfba,UPDATE,STATUS,INACTIVE
036r3gwc-b0f721c4706f437d80ba459414b1cdb6,UPDATE,STATUS,INACTIVE
036r3gqq-4e07fc3faddd4f139000f428588db4e2,UPDATE,STATUS,INACTIVE
036r3grx-a6cc6cb8e4c1406a9d2661d53e87fd8e,UPDATE,STATUS,INACTIVE
036r3gqh-30cad9637a484787b9c4716f50a5ce98,UPDATE,STATUS,INACTIVE
036r3grq-2413c5cb4f744dd8a1f9c4627931a5d3,UPDATE,STATUS,INACTIVE
036af917-015323e05ccbecdd1c1b5116fa9f92a4,UPDATE,STATUS,INACTIVE
036r3grq-20155e963fc44fa79a401459da26d253,UPDATE,STATUS,INACTIVE
036f403f-6fc98f583c717155bf464a25a4d52597,UPDATE,STATUS,INACTIVE
036r3gqw-45105b7c8c584fc29ac176b90d3d0563,UPDATE,STATUS,INACTIVE
03675dcd-e8504a0a7b97fef949dea70bb09e62a0,UPDATE,STATUS,INACTIVE
036r3gx9-93a0d02f2bc7425cb221db71f63eba74,UPDATE,STATUS,INACTIVE
036r3gx0-50badea808334159958dd730665d475a,UPDATE,STATUS,INACTIVE
03699b48-e42363ce6cfe6934b59979db28995d52,UPDATE,STATUS,INACTIVE
036r6587-077311408ce5497cb0da61a88ad31709,UPDATE,STATUS,INACTIVE
036r3gx0-fc2b57a7e7a14bfaf8946aa94fc6f55d,UPDATE,STATUS,INACTIVE
036r3gr7-8ac1f9fda0d05ade2499772f2a13f153,UPDATE,STATUS,INACTIVE
036r3gx0-9eef46803e1d1d8fef655d7d7edcf254,UPDATE,STATUS,INACTIVE
036r3grp-bb17ad4a16743f741eafea650560dfc4,UPDATE,STATUS,INACTIVE
036r3gqv-d2c8c56038c754cd4b7a4c650a76dcc4,UPDATE,STATUS,INACTIVE
036r3gr4-25fb7d5bcc84a7bc6a8aaa846fcb936a,UPDATE,STATUS,INACTIVE
036r652n-6845f232145f491a9ddc617f413f1a4e,UPDATE,STATUS,INACTIVE
036r3gx1-7a20cc6b2d9bd12ff43789a1ea0b98ab,UPDATE,STATUS,INACTIVE
036r3gre-654d41c72f4b6867a27ea71514531e32,UPDATE,STATUS,INACTIVE
036r3gqz-eebc4a4596d94a63a3617787d4be45a6,UPDATE,STATUS,INACTIVE
036r3gry-38fdad28f5f136c3fa829ed039ec43c9,UPDATE,STATUS,INACTIVE
036r3gx2-d121b9d476ec802fff2715008902df01,UPDATE,STATUS,INACTIVE
036r3gx8-8f59254010d48cae0548f5451704ea02,UPDATE,STATUS,INACTIVE
036r3gqy-3782b9b4bb7bf0da0d0208269c64dd10,UPDATE,STATUS,INACTIVE
036r3gx2-9b99a25b99fc8d1d126952a9b652a445,UPDATE,STATUS,INACTIVE
03605fa9-6b37a8a1f86d02f0f1ef489bf1d94800,UPDATE,STATUS,INACTIVE
036r3gx9-80587dbb447f441a8f1fb8b46326dca0,UPDATE,STATUS,INACTIVE
036r3gwb-3b733ea7928634c9169227df994912a0,UPDATE,STATUS,INACTIVE
036r3gx8-ee10118c00824d45942eb9e3e29aeb92,UPDATE,STATUS,INACTIVE
036r3gx2-b7d80358725f42548c546003cfbab8ad,UPDATE,STATUS,INACTIVE
036bma4v-e7e91547bb030e4091e616e8845c66be,UPDATE,STATUS,INACTIVE
036r3gx0-d4c492c3775c7c379e8d644ae95d13af,UPDATE,STATUS,INACTIVE
036r3gx2-a54c6d4f9a2c4dd880bae9f1825dbf8c,UPDATE,STATUS,INACTIVE
